route_id	trip_headsign	direction_id
1	SOUTH FERRY	1
1	VAN CORTLANDT PARK - 242 ST	0
1	137 ST - CITY COLLEGE	0
1	215 ST	0
1	238 ST	0
2	FLATBUSH AV - BROOKLYN COLLEGE	1
2	WAKEFIELD - 241 ST	0
2	NEREID AV	0
2	NEW LOTS AV	1
3	TIMES SQ - 42 ST	1
3	HARLEM - 148 ST	0
3	NEW LOTS AV	1
4	NEW LOTS AV	1
4	WOODLAWN	0
4	CROWN HTS - UTICA AV	1
4	149 ST - GRAND CONCOURSE	0
4	BURNSIDE AV	0
4	BEDFORD PARK BLVD - LEHMAN COLLEGE	0
5	E 180 ST	1
5	EASTCHESTER - DYRE AV	0
5	FLATBUSH AV - BROOKLYN COLLEGE	1
5	CROWN HTS - UTICA AV	1
5	BOWLING GREEN	1
5	NEREID AV	0
5	NEW LOTS AV	1
6	BROOKLYN BRIDGE - CITY HALL	1
6	PELHAM BAY PARK	0
6	PARKCHESTER	0
6	3 AV - 138 ST	0
7	TIMES SQ - 42 ST	1
7	FLUSHING - MAIN ST	0
7X	TIMES SQ - 42 ST	1
7	METS - WILLETS POINT	0
7X	FLUSHING - MAIN ST	0
GS	TIMES SQ - 42 ST	0
GS	GRAND CENTRAL - 42 ST	1
A	FAR ROCKAWAY - MOTT AV	1
A	INWOOD - 207 ST	0
A	OZONE PARK - LEFFERTS BLVD	1
A	168 ST	0
A	DYCKMAN ST	0
A	ROCKAWAY PARK - BEACH 116 ST	1
A	EUCLID AV	0
B	BRIGHTON BEACH	1
B	BEDFORD PARK BLVD	0
B	145 ST	0
C	168 ST	0
C	EUCLID AV	1
D	CONEY ISLAND - STILLWELL AV	1
D	NORWOOD - 205 ST	0
D	BEDFORD PARK BLVD	0
E	WORLD TRADE CENTER	1
E	JAMAICA CENTER - PARSONS/ARCHER	0
E	KEW GARDENS - UNION TPKE	0
E	JAMAICA - 179 ST	0
F	CONEY ISLAND - STILLWELL AV	1
F	JAMAICA - 179 ST	0
F	KINGS HWY	1
FS	PROSPECT PARK	1
FS	FRANKLIN AV	0
G	CHURCH AV	1
G	LONG ISLAND CITY - COURT SQ	0
H	ROCKAWAY PARK - BEACH 116 ST	1
H	        	0
J	CHAMBERS ST	1
J	JAMAICA CENTER - PARSONS/ARCHER	0
J	BROAD ST	1
J	BROADWAY JCT	0
L	8 AV	0
L	CANARSIE - ROCKAWAY PKWY	1
L	MYRTLE - WYCKOFF AVS	1
M	MIDDLE VILLAGE - METROPOLITAN AV	1
M	MYRTLE AV	0
M	FOREST HILLS - 71 AV	0
N	ASTORIA - DITMARS BLVD	0
N	CONEY ISLAND - STILLWELL AV	1
N	57 ST - 7 AV	0
N	TIMES SQ - 42 ST	0
Q	57 ST - 7 AV	0
Q	CONEY ISLAND - STILLWELL AV	1
Q	ASTORIA - DITMARS BLVD	0
Q	TIMES SQ - 42 ST	0
R	36 ST	0
R	BAY RIDGE - 95 ST	1
R	FOREST HILLS - 71 AV	0
R	59 ST	1
R	WHITEHALL ST	1
SI	TOTTENVILLE	1
SI	ST GEORGE	0
SI	GREAT KILLS	1
